Stem_diam_mm	Ph1	Ph2	Ph3	Ph4	Ph5	Ph6	Ph7	Ph8
5.135	0	0	0	0	0	1	0	0
6.1	0	0	1	0	0	0	0	0
6.725	0	0	0	0	0	0	1	0
9.96	0	1	0	0	0	0	0	0
6.65	0	0	0	1	0	0	0	0
6.15	0	0	0	0	0	0	0	1
10.295	0	0	0	0	0	1	0	0
11.3	1	0	0	0	0	0	0	0
4.5	0	0	0	1	0	0	0	0
5.7	1	0	0	0	0	0	0	0
3.81	0	0	0	0	0	0	0	1
3.8	0	0	0	1	0	0	0	0
4.945	0	0	0	0	0	0	0	1
3.95	0	0	0	1	0	0	0	0
8.45	0	0	0	0	0	0	0	1
6.4	0	0	0	0	0	1	0	0
4.2	0	0	0	1	0	0	0	0
10.415	0	0	0	0	0	1	0	0
5.1	0	1	0	0	0	0	0	0
6.9	0	0	1	0	0	0	0	0
6.625	0	0	0	0	0	0	0	1
4.5	0	0	0	1	0	0	0	0
5.05	0	0	0	1	0	0	0	0
13.4	0	0	0	0	0	1	0	0
7.58	0	0	0	0	0	0	0	1
8.8	0	0	0	1	0	0	0	0
4.7	0	1	0	0	0	0	0	0
8.75	0	1	0	0	0	0	0	0
6.3	1	0	0	0	0	0	0	0
6.74	0	0	0	0	0	0	0	1
8.9	1	0	0	0	0	0	0	0
5.9	0	1	0	0	0	0	0	0
4.9	0	0	1	0	0	0	0	0
7.725	0	0	0	0	0	0	0	1
6.9	1	0	0	0	0	0	0	0
7.23	0	0	0	0	0	1	0	0
8.805	0	0	0	0	0	1	0	0
5.15	0	0	0	1	0	0	0	0
9.11	0	0	0	0	0	0	0	1
10.2	0	0	0	1	0	0	0	0
4.515	0	0	0	0	0	0	1	0
6.75	0	0	0	1	0	0	0	0
7.1	1	0	0	0	0	0	0	0
3.24	0	0	0	0	0	0	1	0
6.2	0	0	1	0	0	0	0	0
8.085	0	0	0	0	0	0	0	1
6	0	0	1	0	0	0	0	0
5.5	1	0	0	0	0	0	0	0
6.2	1	0	0	0	0	0	0	0
4.225	0	0	0	0	1	0	0	0
6.5	0	0	1	0	0	0	0	0
6	1	0	0	0	0	0	0	0
6.4	0	0	0	1	0	0	0	0
5.5	1	0	0	0	0	0	0	0
7.3	0	1	0	0	0	0	0	0
6.15	0	0	0	1	0	0	0	0
4.37	0	0	0	0	0	0	1	0
5.595	0	0	0	0	0	1	0	0
6.93	0	1	0	0	0	0	0	0
4.52	0	0	0	0	0	0	1	0
5.985	0	0	0	0	0	1	0	0
5.235	0	0	0	0	1	0	0	0
4.85	0	0	0	1	0	0	0	0
5.2	0	1	0	0	0	0	0	0
3.495	0	0	0	0	0	1	0	0
7.445	0	0	0	0	0	0	1	0
6.83	0	0	0	0	1	0	0	0
7.2	1	0	0	0	0	0	0	0
2.8	0	0	1	0	0	0	0	0
8.51	0	0	0	0	0	0	0	1
4.085	0	0	0	0	1	0	0	0
4.3	0	0	1	0	0	0	0	0
8.92	0	0	0	0	0	0	0	1
6.1	1	0	0	0	0	0	0	0
3.1	0	0	0	1	0	0	0	0
3.5	0	0	0	1	0	0	0	0
5	1	0	0	0	0	0	0	0
3.025	0	0	0	0	0	0	1	0
6.9	0	0	1	0	0	0	0	0
6.1	0	1	0	0	0	0	0	0
6.945	0	0	0	0	0	0	0	1
7.525	0	0	0	0	0	0	0	1
6.725	0	0	0	0	0	0	0	1
7.4	1	0	0	0	0	0	0	0
8.2	1	0	0	0	0	0	0	0
